code	prompt	options	correctAnswer	tolerance	explanation	points	learningObjectiveCodes	questionTypeCode	bloomLevelCode	difficultyCode	contextCode	knowledgeDimensionCode
MOD2_Q01	Trong C#, biến kiểu `bool` có thể lưu trữ những chữ cái như "True" hoặc "False" dưới dạng văn bản. Đúng hay Sai?	TRUE|FALSE	FALSE	0	Biến `bool` chỉ lưu trữ giá trị logic thực sự là `true` hoặc `false` (viết thường, không có ngoặc kép). Nó không lưu trữ chuỗi văn bản (String). Học sinh mới thường nhầm lẫn giữa giá trị boolean và chuỗi văn bản.	1.0	MOD2_CS_BASICS	TRUE_FALSE	REMEMBER	VERY_EASY	TECH_ENG	FACTUAL
MOD2_Q02	Khai báo biến nào sau đây dùng để lưu trữ tốc độ di chuyển (có số thập phân) là ĐÚNG cú pháp C# nhất?	A. int speed = 5.5;|B. float speed = 5.5f;|C. var speed: float = 5.5;|D. speed float = 5.5f;	B. float speed = 5.5f;	0	Trong C#, để lưu số thập phân, ta dùng `float` (kèm chữ `f` ở cuối) hoặc `double`. Đáp án A sai vì `int` chỉ lưu số nguyên. Đáp án C là cú pháp của TypeScript/Visual Scripting. Đáp án D sai thứ tự khai báo.	2.0	MOD2_CS_BASICS	MULTIPLE_CHOICE	UNDERSTAND	EASY	TECH_ENG	FACTUAL
MOD2_Q03	Hãy sắp xếp các thành phần sau để tạo thành một câu lệnh khai báo biến máu (health) hiển thị được trên Unity Inspector nhưng bị đóng gói (không cho script khác sửa).	[SerializeField]|private|int|health = 100;	[SerializeField]|private|int|health = 100;	0	Thứ tự đúng là: Attribute -> Access Modifier -> Type -> Name = Value. `[SerializeField]` cho phép biến `private` hiển thị lên Inspector mà vẫn giữ được tính đóng gói (Encapsulation) an toàn.	3.0	MOD2_CS_BASICS	SEQUENCE	APPLY	MEDIUM	TECH_ENG	PROCEDURAL
MOD2_Q04	Hoàn thành dòng code sau để in dòng chữ "Hello" ra cửa sổ Console: `{{debug_cmd}}("Hello");`	Console.Log|print|Debug.Log|System.out	debug_cmd:Debug.Log	0	Trong Unity C#, lệnh chuẩn để in thông báo ra màn hình Console là `Debug.Log`. Mặc dù `print` cũng hoạt động trong lớp MonoBehaviour, `Debug.Log` là cách chuẩn mực và mạnh mẽ nhất.	1.5	MOD2_CS_BASICS	DRAG_AND_DROP	REMEMBER	VERY_EASY	TECH_ENG	FACTUAL
MOD2_Q05	Toán tử nào trong C# được sử dụng để lấy phần dư của phép chia (thường dùng để xác định số chẵn/lẻ)?		%	0	Toán tử `%` (Modulo) trả về phần dư. Ví dụ: `10 % 3` sẽ trả về `1`. Lỗi phổ biến là nhầm với `/` (phép chia thông thường) hoặc `\` (ký tự escape).	2.0	MOD2_CS_BASICS	SHORT_ANSWER	UNDERSTAND	EASY	TECH_ENG	FACTUAL
MOD2_Q06	Cho `string playerName = "Mario"; int level = 1;`. Kết quả của biểu thức `playerName + level` trong C# là gì?	A. Lỗi biên dịch do khác kiểu|B. Chuỗi "Mario1"|C. Chuỗi "Mario 1"|D. Chuỗi "1Mario"	B. Chuỗi "Mario1"	0	Trong C#, khi dùng dấu `+` giữa một chuỗi (`string`) và một số (`int`), C# sẽ tự động ép kiểu số thành chuỗi và nối chúng lại với nhau sát vào nhau (không tự sinh khoảng trắng).	2.5	MOD2_CS_BASICS	MULTIPLE_CHOICE	APPLY	MEDIUM	TECH_ENG	CONCEPTUAL
MOD2_Q07	Đánh dấu TẤT CẢ các quy tắc đặt tên biến (Variable Naming) hợp lệ và tuân thủ "camelCase" trong C#.	A. int 1stPlayerScore;|B. float jumpForce;|C. string playerName;|D. bool IsGameOver;	B. float jumpForce;|C. string playerName;	0	B và C đúng chuẩn camelCase (chữ cái đầu viết thường, các từ sau viết hoa chữ cái đầu). A sai vì bắt đầu bằng số. D không sai cú pháp nhưng dùng PascalCase (thường dùng cho Class hoặc Method).	3.0	MOD2_CS_BASICS	MULTIPLE_RESPONSE	ANALYZE	MEDIUM	TECH_ENG	PROCEDURAL
MOD2_Q08	Từ khóa `void` trước tên một hàm (ví dụ: `void Die()`) mang ý nghĩa gì?	A. Xóa GameObject khỏi màn hình ngay lập tức.|B. Không cần bất kỳ tham số đầu vào nào.|C. Không trả về dữ liệu sau khi chạy xong.|D. Vô hiệu hóa hàm, không thể gọi được.	C. Không trả về dữ liệu sau khi chạy xong.	0	`void` có nghĩa là "trống rỗng". Nó báo cho trình biên dịch biết rằng hàm này chỉ thực hiện hành động (như phát âm thanh, đổi màu) chứ không tính toán và ném trả lại một giá trị nào đó. Đáp án D là hiểu lầm rất phổ biến.	2.0	MOD2_METHODS	MULTIPLE_CHOICE	UNDERSTAND	EASY	TECH_ENG	CONCEPTUAL
MOD2_Q09	Ghép nối các thành phần của một hàm C# với ý nghĩa tương ứng của chúng.	public|int|TakeDamage|(int amount)#Tên của hàm|Phạm vi|Tham số|Kiểu trả về	public:Phạm vi|int:Kiểu trả về|TakeDamage:Tên của hàm|(int amount):Tham số	0	Cấu trúc chuẩn của hàm: [Phạm vi] [Kiểu trả về] [Tên hàm] ([Tham số]) { ... }. Việc nắm vững cấu trúc này giúp học sinh không bị rối khi đọc code phức tạp.	3.0	MOD2_METHODS	MATCHING	ANALYZE	MEDIUM	TECH_ENG	FACTUAL
MOD2_Q10	Cho hàm: `public int AddScore(int current, int bonus) { return current + bonus; }`. Gọi `AddScore(10, 5);` sẽ làm điểm số thực tế trên UI tự động tăng lên 15. Đúng hay Sai?	TRUE|FALSE	FALSE	0	Sai. Hàm này chỉ tính toán và **trả về** số 15. Nếu bạn không gán kết quả đó vào một biến (ví dụ: `score = AddScore(10, 5);`), thì số 15 đó sẽ bị vứt bỏ và UI không hề thay đổi.	3.5	MOD2_METHODS	TRUE_FALSE	EVALUATE	HARD	TECH_ENG	METACOGNITIVE
